,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,last_name,first_name,player_id_x,display_team_name,year_x,primary_pos_formatted,fielding_runs_prevented,outs_above_average_x,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted,player_id_y,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed,resp_fielder_id,year_y,outs_above_average_y,outs_per_play,rel_league_burst_distance,rel_league_reaction_distance,rel_league_routing_distance,rel_league_bootup_distance,f_bootup_distance,n,n_outs
19,19,19,19,19,19,Altuve,Jose,514888.0,Astros,,2B,1.0,2.0,4.0,-4.0,1.0,0.0,1.0,1.0,74%,74%,0%,514888.0,117.0,HOU,2B,32.0,234.0,39.0,4.23,28.1,,,,,,,,,,,
20,20,20,20,20,20,Alvarez,Eddy,657193.0,Dodgers,,3B,-2.0,-2.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,67%,73%,-6%,657193.0,119.0,LAD,RF,32.0,6.0,,,26.8,,,,,,,,,,,
21,21,21,21,21,21,Alvarez,Yordan,670541.0,Astros,,LF,-6.0,-7.0,1.0,-3.0,-6.0,1.0,-3.0,-4.0,84%,90%,-6%,670541.0,117.0,HOU,DH,25.0,161.0,,4.53,26.5,670541.0,2022.0,-5.0,37.5,-2.8,-0.9,0.5,-3.1,29.9,24.0,9.0
22,22,22,22,22,22,Anderson,Brian,605119.0,Marlins,,3B,-5.0,-6.0,-5.0,2.0,-1.0,-1.0,-4.0,-2.0,74%,76%,-2%,605119.0,146.0,MIA,3B,29.0,125.0,,4.44,27.5,605119.0,2022.0,-2.0,40.9,0.1,-0.1,0.3,0.3,34.3,22.0,9.0
23,23,23,23,23,23,Anderson,Tim,641313.0,White Sox,,SS,-1.0,-2.0,-1.0,2.0,-2.0,-1.0,-4.0,2.0,71%,71%,0%,641313.0,145.0,CWS,SS,29.0,148.0,30.0,4.32,28.3,,,,,,,,,,,
24,24,24,24,24,24,Andrus,Elvis,462101.0,---,,SS,3.0,3.0,12.0,0.0,-7.0,-2.0,8.0,-4.0,73%,73%,0%,462101.0,145.0,CWS,SS,33.0,220.0,,4.6,26.0,,,,,,,,,,,
25,25,25,25,25,25,Andujar,Miguel,609280.0,---,,3B,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,96%,93%,3%,609280.0,134.0,PIT,LF,27.0,54.0,,4.51,27.4,609280.0,2022.0,1.0,60.0,0.8,1.5,-1.9,0.4,33.2,5.0,3.0
26,26,26,26,26,26,Aquino,Aristides,606157.0,Reds,,RF,1.0,1.0,-1.0,0.0,1.0,1.0,0.0,2.0,89%,88%,1%,606157.0,113.0,CIN,RF,28.0,72.0,2.0,4.42,28.8,606157.0,2022.0,1.0,51.5,1.0,0.1,-0.1,1.1,34.1,33.0,17.0
27,27,27,27,27,27,Aranda,Jonathan,666018.0,Rays,,2B,-2.0,-3.0,-1.0,-1.0,0.0,0.0,0.0,-3.0,76%,80%,-4%,666018.0,139.0,TB,2B,24.0,32.0,,4.57,25.7,,,,,,,,,,,
28,28,28,28,28,28,Arauz,Jonathan,660620.0,---,,2B,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0,69%,69%,0%,660620.0,110.0,BAL,3B,23.0,13.0,,,26.0,,,,,,,,,,,
29,29,29,29,29,29,Arcia,Orlando,606115.0,Braves,,SS,-3.0,-3.0,-1.0,1.0,-1.0,-2.0,-4.0,2.0,77%,79%,-2%,606115.0,144.0,ATL,2B,27.0,77.0,,4.7,26.5,606115.0,2022.0,-2.0,16.7,-0.8,1.5,-1.5,-0.8,34.1,6.0,1.0
30,30,30,30,30,30,Arenado,Nolan,571448.0,Cardinals,,3B,11.0,14.0,4.0,6.0,4.0,0.0,13.0,1.0,73%,70%,3%,571448.0,138.0,STL,3B,31.0,169.0,,4.72,25.5,,,,,,,,,,,
31,31,31,31,31,31,Arias,Gabriel,672356.0,Guardians,,3B,-3.0,-4.0,1.0,-2.0,-1.0,-2.0,-2.0,-2.0,68%,75%,-7%,672356.0,114.0,CLE,3B,22.0,24.0,,4.44,28.0,,,,,,,,,,,
32,32,32,32,32,32,Arozarena,Randy,668227.0,Rays,,LF,0.0,0.0,2.0,-2.0,0.0,-1.0,0.0,0.0,86%,86%,0%,668227.0,139.0,TB,LF,27.0,245.0,13.0,4.27,28.8,668227.0,2022.0,-1.0,44.4,-0.5,-0.3,-0.1,-0.9,31.5,54.0,24.0
33,33,33,33,33,33,Arraez,Luis,650333.0,Twins,,2B,-3.0,-4.0,-2.0,-1.0,-1.0,1.0,-6.0,2.0,79%,81%,-2%,650333.0,142.0,MIN,1B,25.0,221.0,,4.49,26.8,,,,,,,,,,,
34,34,34,34,34,34,Arroyo,Christian,624414.0,Red Sox,,2B,-5.0,-5.0,1.0,-2.0,-5.0,0.0,-3.0,-2.0,73%,76%,-3%,624414.0,111.0,BOS,2B,27.0,115.0,,4.42,27.8,624414.0,2022.0,-2.0,36.4,-0.5,0.4,-0.1,-0.2,31.9,11.0,4.0
35,35,35,35,35,35,Astudillo,Willians,553902.0,Marlins,,3B,-4.0,-5.0,-3.0,1.0,-3.0,0.0,-6.0,0.0,54%,69%,-15%,553902.0,146.0,MIA,2B,30.0,22.0,,4.76,24.4,,,,,,,,,,,
36,36,36,36,36,36,Azocar,Jose,640492.0,Padres,,CF,7.0,8.0,3.0,0.0,2.0,2.0,7.0,1.0,95%,90%,5%,640492.0,135.0,SD,CF,26.0,87.0,21.0,4.34,29.5,640492.0,2022.0,7.0,80.0,1.8,3.3,-1.9,3.2,37.2,35.0,28.0
37,37,37,37,37,37,Baddoo,Akil,668731.0,Tigers,,CF,-1.0,-1.0,-1.0,0.0,3.0,-2.0,1.0,-1.0,90%,91%,-1%,668731.0,116.0,DET,LF,23.0,78.0,5.0,4.12,28.9,668731.0,2022.0,-1.0,52.9,-0.5,-0.3,0.1,-0.8,32.8,34.0,18.0
38,38,38,38,38,38,Bader,Harrison,664056.0,---,,CF,6.0,7.0,3.0,3.0,1.0,0.0,1.0,5.0,94%,91%,3%,664056.0,147.0,NYY,CF,28.0,116.0,17.0,4.27,29.1,664056.0,2022.0,4.0,64.1,1.5,0.2,-0.3,1.3,35.9,39.0,25.0
39,39,39,39,39,39,Bae,Ji Hwan,678225.0,Pirates,,2B,-1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,77%,80%,-3%,678225.0,134.0,PIT,CF,22.0,22.0,5.0,,29.0,,,,,,,,,,,
40,40,40,40,40,40,Bannon,Rylan,676625.0,Orioles,,3B,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,77%,84%,-7%,,,,,,,,,,,,,,,,,,,,
41,41,41,41,41,41,Barrera,Luis,642456.0,Athletics,,RF,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,92%,87%,5%,642456.0,133.0,OAK,RF,26.0,39.0,3.0,4.22,28.5,642456.0,2022.0,3.0,75.0,0.0,1.6,-0.5,1.0,34.6,12.0,9.0
42,42,42,42,42,42,Barrero,Jose,676480.0,Reds,,SS,-1.0,-2.0,0.0,-2.0,0.0,0.0,-1.0,-1.0,73%,74%,-1%,676480.0,113.0,CIN,SS,24.0,33.0,,4.49,27.9,,,,,,,,,,,
43,43,43,43,43,43,Batten,Matthew,676946.0,Padres,,3B,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,67%,59%,8%,676946.0,135.0,SD,3B,27.0,8.0,1.0,,29.5,,,,,,,,,,,
44,44,44,44,44,44,Baty,Brett,683146.0,Mets,,3B,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.0,61%,62%,-1%,683146.0,121.0,NYM,3B,22.0,13.0,,,26.8,,,,,,,,,,,
45,45,45,45,45,45,Beaty,Matt,607461.0,Padres,,1B,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,64%,73%,-9%,607461.0,135.0,SD,RF,29.0,14.0,,,26.8,607461.0,2022.0,-1.0,28.6,-3.1,-0.7,0.4,-3.4,29.5,7.0,2.0
46,46,46,46,46,46,Beckham,Tim,542921.0,Twins,,SS,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,57%,66%,-9%,542921.0,142.0,MIN,DH,32.0,10.0,,,26.9,,,,,,,,,,,
47,47,47,47,47,47,Beer,Seth,666179.0,D-backs,,1B,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,57%,68%,-11%,666179.0,109.0,AZ,DH,25.0,40.0,,4.81,24.7,,,,,,,,,,,
48,48,48,48,48,48,Bell,Josh,605137.0,---,,1B,-3.0,-4.0,-1.0,-5.0,-1.0,2.0,-1.0,-4.0,72%,74%,-2%,605137.0,135.0,SD,1B,29.0,246.0,,4.62,26.2,,,,,,,,,,,
49,49,49,49,49,49,Bellinger,Cody,641355.0,Dodgers,,CF,6.0,7.0,-1.0,4.0,2.0,2.0,5.0,2.0,91%,89%,2%,641355.0,119.0,LAD,CF,26.0,128.0,2.0,4.23,28.1,641355.0,2022.0,2.0,52.3,0.4,-0.1,0.3,0.7,34.6,65.0,34.0
50,50,50,50,50,50,Belt,Brandon,474832.0,Giants,,1B,-3.0,-4.0,-1.0,-3.0,2.0,-1.0,-5.0,2.0,69%,71%,-2%,474832.0,137.0,SF,1B,34.0,55.0,,4.8,24.4,,,,,,,,,,,
51,51,51,51,51,51,Benintendi,Andrew,643217.0,---,,LF,0.0,0.0,1.0,1.0,-3.0,1.0,-1.0,1.0,89%,89%,0%,643217.0,147.0,NYY,LF,27.0,186.0,1.0,4.38,27.5,643217.0,2022.0,-1.0,51.9,-0.2,-0.2,0.2,-0.1,33.5,52.0,27.0
52,52,52,52,52,52,Benson,Will,666181.0,Guardians,,CF,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,88%,90%,-2%,666181.0,114.0,CLE,CF,24.0,21.0,2.0,4.33,29.3,666181.0,2022.0,0.0,66.7,-1.0,-1.3,-0.1,-2.4,31.0,9.0,6.0
53,53,53,53,53,53,Bernard,Wynton,592144.0,Rockies,,CF,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,1.0,89%,88%,1%,592144.0,115.0,COL,CF,31.0,23.0,14.0,4.08,30.1,592144.0,2022.0,0.0,62.5,-0.1,-1.2,0.8,-0.5,32.5,8.0,5.0
54,54,54,54,54,54,Berti,Jon,542932.0,Marlins,,3B,3.0,4.0,4.0,0.0,1.0,-1.0,1.0,2.0,77%,76%,1%,542932.0,146.0,MIA,2B,32.0,163.0,35.0,4.26,29.6,542932.0,2022.0,0.0,37.5,0.3,-0.5,0.5,0.3,33.5,8.0,3.0
55,55,55,55,55,55,Bethancourt,Christian,542194.0,---,,1B,1.0,1.0,1.0,2.0,-1.0,0.0,-1.0,2.0,76%,74%,2%,542194.0,139.0,TB,C,30.0,112.0,,4.43,28.1,,,,,,,,,,,
56,56,56,56,56,56,Betts,Mookie,605141.0,Dodgers,,RF,4.0,4.0,2.0,0.0,0.0,2.0,1.0,3.0,89%,87%,2%,605141.0,119.0,LAD,RF,29.0,191.0,,4.45,27.3,605141.0,2022.0,4.0,56.2,0.8,0.1,0.3,1.2,34.8,73.0,41.0
57,57,57,57,57,57,Bichette,Bo,666182.0,Blue Jays,,SS,-5.0,-7.0,-10.0,1.0,0.0,2.0,-12.0,5.0,75%,76%,-1%,666182.0,141.0,TOR,SS,24.0,237.0,,4.5,27.5,,,,,,,,,,,
58,58,58,58,58,58,Biggio,Cavan,624415.0,Blue Jays,,2B,6.0,7.0,1.0,4.0,1.0,1.0,2.0,5.0,79%,76%,3%,624415.0,141.0,TOR,2B,27.0,79.0,,4.35,28.5,624415.0,2022.0,0.0,37.5,0.2,0.8,0.2,1.2,36.1,8.0,3.0
59,59,59,59,59,59,Blackmon,Charlie,453568.0,Rockies,,CF,-4.0,-5.0,0.0,-2.0,-3.0,0.0,-4.0,-1.0,81%,85%,-4%,453568.0,115.0,COL,DH,35.0,210.0,1.0,4.36,27.9,453568.0,2022.0,-4.0,35.7,-0.9,-1.6,0.6,-1.9,31.9,28.0,10.0
60,60,60,60,60,60,Blanco,Dairon,680118.0,Royals,,CF,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,100%,89%,11%,680118.0,118.0,KC,CF,29.0,5.0,1.0,,28.9,,,,,,,,,,,
61,61,61,61,61,61,Bleday,JJ,668709.0,Marlins,,CF,-2.0,-3.0,1.0,-3.0,0.0,-1.0,-1.0,-2.0,82%,84%,-2%,668709.0,146.0,MIA,CF,24.0,46.0,,4.41,27.8,668709.0,2022.0,-1.0,37.1,0.1,-0.7,0.2,-0.4,33.4,35.0,13.0
62,62,62,62,62,62,Bogaerts,Xander,593428.0,Red Sox,,SS,4.0,5.0,6.0,-2.0,1.0,-1.0,-3.0,8.0,77%,76%,1%,593428.0,111.0,BOS,SS,29.0,239.0,1.0,4.31,27.9,,,,,,,,,,,
63,63,63,63,63,63,Bohm,Alec,664761.0,Phillies,,3B,-7.0,-9.0,1.0,-8.0,-1.0,0.0,-9.0,0.0,69%,71%,-2%,664761.0,143.0,PHI,3B,25.0,257.0,,4.59,27.1,,,,,,,,,,,
64,64,64,64,64,64,Bolt,Skye,621450.0,Athletics,,CF,2.0,2.0,-1.0,1.0,2.0,0.0,1.0,1.0,91%,89%,2%,621450.0,133.0,OAK,CF,28.0,37.0,1.0,4.45,27.8,621450.0,2022.0,0.0,47.1,0.6,0.0,0.2,0.8,34.8,17.0,8.0
65,65,65,65,65,65,Bote,David,623520.0,Cubs,,3B,-1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,1.0,74%,75%,-1%,623520.0,112.0,CHC,3B,29.0,44.0,,4.5,26.7,,,,,,,,,,,
66,66,66,66,66,66,Bouchard,Sean,656248.0,Rockies,,LF,0.0,-1.0,-2.0,1.0,0.0,1.0,-1.0,1.0,88%,89%,-1%,656248.0,115.0,COL,LF,26.0,21.0,,,28.0,656248.0,2022.0,0.0,45.5,-1.3,0.0,0.4,-1.0,32.6,11.0,5.0
67,67,67,67,67,67,Bradley Jr.,Jackie,598265.0,---,,CF,6.0,7.0,0.0,3.0,3.0,1.0,4.0,2.0,86%,84%,2%,598265.0,141.0,TOR,RF,32.0,151.0,,4.42,27.0,598265.0,2022.0,6.0,52.7,1.0,2.4,-0.7,2.7,37.0,74.0,39.0
68,68,68,68,68,68,Bradley,Bobby,656252.0,Guardians,,1B,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-2.0,85%,95%,-10%,,,,,,,,,,,,,,,,,,,,
69,69,69,69,69,69,Brantley,Michael,488726.0,Astros,,LF,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,86%,87%,-1%,488726.0,117.0,HOU,DH,35.0,83.0,,4.72,25.3,488726.0,2022.0,-2.0,33.3,-1.6,0.0,0.2,-1.4,33.0,15.0,5.0
70,70,70,70,70,70,Bregman,Alex,608324.0,Astros,,3B,6.0,8.0,1.0,0.0,4.0,2.0,6.0,2.0,72%,71%,1%,608324.0,117.0,HOU,3B,28.0,201.0,,4.6,26.6,,,,,,,,,,,
71,71,71,71,71,71,Brennan,Will,686823.0,Guardians,,LF,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,90%,90%,0%,686823.0,114.0,CLE,LF,24.0,25.0,,4.41,27.4,,,,,,,,,,,
72,72,72,72,72,72,Bride,Jonah,681146.0,Athletics,,2B,0.0,0.0,0.0,1.0,-2.0,1.0,1.0,-1.0,68%,68%,0%,681146.0,133.0,OAK,2B,26.0,65.0,,4.52,26.9,,,,,,,,,,,
73,73,73,73,73,73,Brinson,Lewis,621446.0,Giants,,CF,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,81%,84%,-3%,621446.0,137.0,SF,CF,28.0,10.0,1.0,,28.9,621446.0,2022.0,-1.0,20.0,-1.6,-1.1,0.6,-2.2,33.0,5.0,1.0
74,74,74,74,74,74,Brosseau,Mike,670712.0,Brewers,,3B,-4.0,-6.0,-2.0,-1.0,-3.0,0.0,-7.0,1.0,65%,69%,-4%,670712.0,158.0,MIL,3B,28.0,41.0,,4.49,27.7,,,,,,,,,,,
75,75,75,75,75,75,Brown,Seth,664913.0,Athletics,,RF,-6.0,-7.0,2.0,-5.0,0.0,-4.0,-5.0,-2.0,80%,82%,-2%,664913.0,133.0,OAK,1B,29.0,149.0,,4.51,27.9,664913.0,2022.0,-5.0,33.3,-1.4,0.3,0.1,-1.0,32.4,27.0,9.0
76,76,76,76,76,76,Brujan,Vidal,660644.0,Rays,,2B,1.0,1.0,-1.0,2.0,0.0,1.0,0.0,1.0,80%,79%,1%,660644.0,139.0,TB,2B,24.0,50.0,2.0,4.28,28.5,,,,,,,,,,,
77,77,77,77,77,77,Bryant,Kris,592178.0,Rockies,,3B,-1.0,-2.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,79%,82%,-3%,592178.0,115.0,COL,LF,30.0,66.0,,4.47,27.3,592178.0,2022.0,-1.0,28.6,-1.1,0.8,-0.5,-0.8,32.4,14.0,4.0
78,78,78,78,78,78,Burdick,Peyton,680814.0,Marlins,,CF,-2.0,-2.0,-1.0,1.0,-3.0,0.0,-1.0,-1.0,85%,89%,-4%,680814.0,146.0,MIA,CF,25.0,23.0,,4.43,28.1,680814.0,2022.0,-2.0,22.2,-0.7,-0.9,0.3,-1.3,33.3,9.0,2.0
79,79,79,79,79,79,Burger,Jake,669394.0,White Sox,,3B,-5.0,-7.0,-2.0,-5.0,0.0,0.0,-7.0,1.0,63%,68%,-5%,669394.0,145.0,CWS,3B,26.0,57.0,,4.5,27.8,,,,,,,,,,,
80,80,80,80,80,80,Burleson,Alec,676475.0,Cardinals,,RF,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-2.0,79%,83%,-4%,676475.0,138.0,STL,RF,23.0,17.0,,4.56,25.3,,,,,,,,,,,
81,81,81,81,81,81,Buxton,Byron,621439.0,Twins,,CF,7.0,8.0,2.0,2.0,4.0,1.0,4.0,3.0,95%,89%,6%,621439.0,142.0,MIN,CF,28.0,82.0,23.0,4.16,29.1,621439.0,2022.0,6.0,77.4,0.4,-0.7,0.2,-0.2,34.1,31.0,24.0
82,82,82,82,82,82,Baez,Javier,595879.0,Tigers,,SS,1.0,1.0,4.0,4.0,-6.0,1.0,2.0,-1.0,73%,73%,0%,595879.0,116.0,DET,SS,29.0,228.0,,4.34,27.9,,,,,,,,,,,
83,83,83,83,83,83,Cabrera,Oswaldo,665828.0,Yankees,,RF,2.0,2.0,1.0,1.0,2.0,-1.0,2.0,0.0,88%,86%,2%,665828.0,147.0,NYY,RF,23.0,47.0,,4.47,27.5,665828.0,2022.0,-1.0,47.1,1.7,1.5,-0.1,3.0,37.7,17.0,8.0
84,84,84,84,84,84,Cain,Lorenzo,456715.0,Brewers,,CF,3.0,3.0,1.0,1.0,2.0,0.0,3.0,1.0,88%,84%,4%,456715.0,158.0,MIL,CF,36.0,64.0,2.0,4.4,28.3,456715.0,2022.0,3.0,62.1,1.4,0.6,-0.5,1.4,35.8,29.0,18.0
85,85,85,85,85,85,Calhoun,Kole,594777.0,Rangers,,RF,-1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,86%,86%,0%,594777.0,140.0,TEX,RF,34.0,95.0,,4.66,25.3,594777.0,2022.0,-2.0,42.2,-0.9,1.0,-1.0,-0.9,32.3,45.0,19.0
86,86,86,86,86,86,Calhoun,Willie,641432.0,Rangers,,LF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100%,94%,6%,641432.0,137.0,SF,DH,27.0,18.0,,,25.9,,,,,,,,,,,
87,87,87,87,87,87,Call,Alex,669743.0,---,,LF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,86%,86%,0%,669743.0,120.0,WSH,LF,27.0,34.0,,4.37,28.4,669743.0,2022.0,0.0,38.5,-0.4,0.7,0.2,0.5,34.8,13.0,5.0
88,88,88,88,88,88,Camargo,Johan,622666.0,Phillies,,3B,1.0,2.0,1.0,-1.0,1.0,0.0,2.0,0.0,77%,76%,1%,622666.0,143.0,PHI,SS,28.0,50.0,,4.72,24.8,,,,,,,,,,,
89,89,89,89,89,89,Cameron,Daz,663662.0,Tigers,,RF,-1.0,-1.0,-2.0,-1.0,0.0,1.0,0.0,-1.0,90%,91%,-1%,663662.0,116.0,DET,RF,25.0,23.0,1.0,4.41,28.5,663662.0,2022.0,0.0,60.0,0.7,-1.0,0.1,-0.2,34.2,10.0,6.0
90,90,90,90,90,90,Candelario,Jeimer,600869.0,Tigers,,3B,-4.0,-6.0,4.0,-2.0,-6.0,-2.0,-5.0,-1.0,69%,70%,-1%,600869.0,116.0,DET,3B,28.0,158.0,,4.51,27.3,,,,,,,,,,,
91,91,91,91,91,91,Canha,Mark,592192.0,Mets,,LF,-1.0,-2.0,-1.0,0.0,-3.0,2.0,1.0,-2.0,86%,86%,0%,592192.0,121.0,NYM,LF,33.0,197.0,,4.46,27.5,592192.0,2022.0,-2.0,46.6,-0.7,-0.2,0.1,-0.8,33.0,58.0,27.0
92,92,92,92,92,92,Cano,Robinson,429664.0,---,,2B,-3.0,-3.0,-1.0,0.0,-2.0,0.0,0.0,-3.0,73%,78%,-5%,429664.0,144.0,ATL,2B,39.0,37.0,,4.74,24.3,,,,,,,,,,,
93,93,93,93,93,93,Capel,Conner,668843.0,---,,RF,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,91%,89%,2%,668843.0,133.0,OAK,RF,25.0,22.0,,4.31,27.6,668843.0,2022.0,0.0,50.0,1.0,1.5,0.1,2.6,37.1,10.0,5.0
94,94,94,94,94,94,Capra,Vinny,681962.0,Blue Jays,,2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100%,61%,39%,,,,,,,,,,,,,,,,,,,,
