,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
36,36,36,36,36,36,36,36,36,37,"Tuesday, May 17",HOU,@,BOS,W,13.0,4.0,9.0,24-13,1.0,up 1.0,Urquidy,Eovaldi,None,3:12,N,27328.0,1.21,1,
37,37,37,37,37,37,37,37,37,38,"Wednesday, May 18",HOU,@,BOS,L,1.0,5.0,9.0,24-14,1.0,up 1.0,Pivetta,Garcia,None,2:38,N,31717.0,1.23,-1,
38,38,38,38,38,38,38,38,38,39,"Thursday, May 19",HOU,Home,TEX,W,5.0,1.0,9.0,25-14,1.0,up 1.5,Valdez,Otto,None,3:10,N,34593.0,1.34,1,
39,39,39,39,39,39,39,39,39,40,"Friday, May 20",HOU,Home,TEX,L,0.0,3.0,9.0,25-15,1.0,up 1.5,Pérez,Javier,None,2:57,N,35294.0,1.27,-1,
40,40,40,40,40,40,40,40,40,41,"Saturday, May 21",HOU,Home,TEX,W,2.0,1.0,9.0,26-15,1.0,up 1.5,Verlander,Gray,Pressly,2:52,N,37187.0,1.3,1,
41,41,41,41,41,41,41,41,41,42,"Sunday, May 22",HOU,Home,TEX,W,5.0,2.0,9.0,27-15,1.0,up 1.5,Urquidy,Hearn,Pressly,3:10,D,38745.0,1.28,2,
42,42,42,42,42,42,42,42,42,43,"Monday, May 23",HOU,Home,CLE,L,1.0,6.0,9.0,27-16,1.0,up 1.0,McKenzie,Garcia,None,3:02,N,28284.0,1.23,-1,
43,43,43,43,43,43,43,43,43,44,"Tuesday, May 24",HOU,Home,CLE,W,7.0,3.0,9.0,28-16,1.0,up 1.0,Valdez,Plesac,None,2:45,N,26621.0,1.28,1,
44,44,44,44,44,44,44,44,44,45,"Wednesday, May 25",HOU,Home,CLE,W,2.0,1.0,9.0,29-16,1.0,up 2.0,Javier,Quantrill,Pressly,3:00,N,25412.0,1.23,2,
45,45,45,45,45,45,45,45,45,46,"Friday, May 27",HOU,@,SEA,L,1.0,6.0,9.0,29-17,1.0,up 2.5,Flexen,Verlander,None,2:45,N,26017.0,1.22,-1,
