,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,last_name,first_name,player_id_x,display_team_name,year_x,primary_pos_formatted,fielding_runs_prevented,outs_above_average_x,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,age,competitive_runs,bolts,hp_to_1b,sprint_speed,resp_fielder_id,year_y,outs_above_average_y,outs_per_play,rel_league_burst_distance,rel_league_reaction_distance,rel_league_routing_distance,rel_league_bootup_distance,f_bootup_distance,n,n_outs
222,222,222,222,222,222,Harper,Bryce,547180.0,Phillies,,RF,0.2121212121212121,0.2558139534883721,0.5925925925925926,0.2083333333333333,0.2631578947368421,0.6,0.28125,0.2222222222222222,0.3809523809523809,0.504885993485342,,0.3362068965517237,0.6506024096385543,0.4292461505023994,0.0,0.3076923076923077,0.4029999999999999,0.5185185185185185,0.2714285714285713,0.8142857142857143,0.528,0.495867768595041,0.6138613861386139,0.4153846153846154
223,223,223,223,223,223,Harrison,Josh,543281.0,---,,2B,0.4848484848484848,0.5116279069767442,0.7037037037037037,0.5833333333333333,0.5263157894736842,0.0999999999999999,0.34375,0.7777777777777777,0.6190476190476191,0.6026058631921825,,0.4051724137931032,0.5180722891566267,0.4129495260227709,0.0,0.3076923076923077,0.125,0.3425925925925925,0.1857142857142856,0.8571428571428571,0.36,0.2479338842975207,0.0297029702970297,0.0153846153846153
224,224,224,224,224,224,Harrison,Monte,656509.0,Marlins,,CF,0.4242424242424242,0.4186046511627906,0.5185185185185185,0.4166666666666666,0.5789473684210527,0.5,0.40625,0.4444444444444444,0.2380952380952381,0.0,,,0.6506024096385543,,,,,,,,,,,
225,225,225,225,225,225,Haseley,Adam,656514.0,Phillies,,CF,0.3636363636363636,0.3488372093023255,0.5185185185185185,0.3749999999999999,0.4736842105263157,0.5,0.34375,0.3888888888888888,0.2380952380952381,0.003257328990228,,,0.5421686746987953,,,,,,,,,,,
226,226,226,226,226,226,Hayes,Ke'Bryan,663647.0,Pirates,,3B,0.6666666666666666,0.6744186046511628,0.6666666666666666,0.5416666666666666,0.7368421052631579,0.7,0.71875,0.5,0.1904761904761904,0.4853420195439739,0.0,0.3534482758620689,0.6506024096385543,,,,,,,,,,,
227,227,227,227,227,227,Hays,Austin,669720.0,Orioles,,LF,0.3939393939393939,0.3953488372093023,0.4814814814814814,0.4583333333333333,0.5263157894736842,0.5,0.375,0.4444444444444444,0.2380952380952381,0.6123778501628665,,0.3793103448275858,0.6024096385542168,0.9414257770049992,0.0,0.3076923076923077,0.4,0.5555555555555555,0.2285714285714285,0.8571428571428571,0.56,0.4545454545454546,0.396039603960396,0.2769230769230769
228,228,228,228,228,228,Heath,Nick,670084.0,D-backs,,CF,0.4545454545454545,0.4418604651162791,0.5185185185185185,0.4583333333333333,0.5263157894736842,0.6,0.40625,0.5,0.3333333333333332,0.022801302931596,,,0.8072289156626509,0.9429471853944796,0.0,0.5,1.0,0.6574074074074073,0.1714285714285713,0.9857142857142857,0.688,0.5702479338842976,0.0099009900990098,0.0923076923076923
229,229,229,229,229,229,Heineman,Scott,595981.0,Reds,,CF,0.3939393939393939,0.4186046511627906,0.5185185185185185,0.4166666666666666,0.5263157894736842,0.5,0.375,0.4444444444444444,0.3809523809523809,0.013029315960912,,,0.7349397590361448,,,,,,,,,,,
230,230,230,230,230,230,Heredia,Guillermo,628338.0,Braves,,CF,0.5454545454545454,0.5348837209302325,0.5555555555555556,0.4166666666666666,0.631578947368421,0.7,0.5,0.5,0.476190476190476,0.3843648208469055,,0.3189655172413794,0.6506024096385543,0.7684617056492735,0.0,0.576923076923077,0.58,0.6851851851851851,0.4285714285714285,0.7285714285714285,0.712,0.6942148760330582,0.4455445544554455,0.4461538461538462
231,231,231,231,231,231,Hermosillo,Michael,641684.0,Cubs,,CF,0.4242424242424242,0.4418604651162791,0.5185185185185185,0.4583333333333333,0.5263157894736842,0.5,0.40625,0.5,0.2857142857142858,0.009771986970684,,,0.6987951807228918,,,,,,,,,,,
232,232,232,232,232,232,Hernandez,Yadiel,628450.0,Nationals,,LF,0.2424242424242424,0.2790697674418604,0.5185185185185185,0.4166666666666666,0.3157894736842105,0.5,0.25,0.3888888888888888,0.6190476190476191,0.3322475570032573,,0.5603448275862064,0.3493975903614461,0.7689298313075752,0.0,0.3076923076923077,0.394,0.4722222222222221,0.4714285714285713,0.7571428571428571,0.56,0.4793388429752068,0.2772277227722772,0.2
233,233,233,233,233,233,Hernandez,Yonny,660634.0,Rangers,,3B,0.4242424242424242,0.4186046511627906,0.5555555555555556,0.4166666666666666,0.4736842105263157,0.5,0.375,0.4444444444444444,0.1428571428571428,0.1889250814332247,,0.4568965517241374,0.5301204819277112,,,,,,,,,,,
234,234,234,234,234,234,Hernandez,Cesar,514917.0,---,,2B,0.3939393939393939,0.3953488372093023,0.4814814814814814,0.2499999999999999,0.7894736842105263,0.4,0.34375,0.5,0.5238095238095237,0.6742671009771988,0.2260273972602739,0.21551724137931,0.7590361445783134,,,,,,,,,,,
235,235,235,235,235,235,Hernandez,Enrique,571771.0,Red Sox,,2B,0.5757575757575757,0.5348837209302325,0.5555555555555556,0.6666666666666666,0.4736842105263157,0.4,0.65625,0.2777777777777778,0.4285714285714286,0.5765472312703583,,0.4137931034482753,0.6024096385542168,0.5320289903532678,0.0,0.7692307692307693,0.64,0.7222222222222221,1.0,0.5428571428571428,0.96,0.9752066115702482,0.4455445544554455,0.4923076923076923
236,236,236,236,236,236,Hernandez,Teoscar,606192.0,Blue Jays,,RF,0.3939393939393939,0.3720930232558139,0.5555555555555556,0.2499999999999999,0.631578947368421,0.6,0.3125,0.5,0.3809523809523809,0.5244299674267101,0.0753424657534246,0.3017241379310342,0.7349397590361448,0.6758982161068663,0.0,0.4230769230769231,0.381,0.4999999999999999,0.3428571428571428,0.8571428571428571,0.584,0.4297520661157024,0.5742574257425742,0.3692307692307692
