,Unnamed: 0,Name,Team,G,GS,IP,SO,BB,K/9,BB/9,HR/9,K/BB,AVG,WHIP,RS/9,ERA,FIP,xFIP,SIERA,WAR,bWAR,aWAR,WPA
32,32,Clayton Kershaw,LAD,0.4254467,0.61566746,0.56414074,0.58615834,0.3454188,0.48158732,0.10098873,0.13104591,0.3371425,0.23395164,0.12612154,0.23206471,0.1056282,0.094369285,0.3704591,0.21624926,0.522237,0.52202684,0.45114753,0.450051
33,33,Chris Bassitt,OAK,0.4559653,0.77555287,0.69809234,0.61592036,0.47193435,0.39699072,0.10319217,0.11768391,0.2696994,0.23127387,0.1220802,0.23206471,0.09868775,0.09824976,0.3704591,0.28706694,0.63471955,0.62307644,0.5994768,0.5755841
34,34,Lance McCullers Jr.,HOU,0.48516613,0.8236495,0.7209893,0.61592144,0.58842987,0.4580007,0.15903945,0.105976634,0.19297074,0.216201,0.13520421,0.23206471,0.101508595,0.09949012,0.3704591,0.29407498,0.5861809,0.60722923,0.58594257,0.5355882
35,35,Sean Manaea,OAK,0.45172155,0.89498526,0.76419604,0.6159219,0.6081899,0.40923503,0.093845285,0.1554274,0.3125312,0.2845997,0.12883142,0.23206471,0.10556257,0.103435196,0.3704591,0.27889687,0.65893185,0.59149057,0.5735625,0.44103053
36,36,Jordan Montgomery,NYY,0.43401632,0.82974154,0.721487,0.6159211,0.57837087,0.39523506,0.11886655,0.12904687,0.2328066,0.26331937,0.13993916,0.23206471,0.107915536,0.09962999,0.3704591,0.31046,0.55245775,0.52533144,0.4797941,0.41705835
37,37,Luis Garcia,HOU,0.47204593,0.7993649,0.7004079,0.61592096,0.551838,0.43008724,0.12968773,0.13387223,0.24115293,0.23542386,0.13251409,0.23206471,0.10548115,0.10262587,0.3704591,0.3031026,0.56006473,0.5665736,0.5149659,0.47801554
38,38,Luis Garcia,HOU,0.46904138,0.8151809,0.7113426,0.61592084,0.55308616,0.43140614,0.13127527,0.13123567,0.24281648,0.22773409,0.1308007,0.23206471,0.10356851,0.10307701,0.3704591,0.30685714,0.5765877,0.5795856,0.5385611,0.47999293
39,39,Luis Garcia,STL,0.53676605,0.02716169,0.15794516,0.21644577,0.08206105,0.41801393,0.12560698,0.10018531,0.2729954,0.21881992,0.13857317,0.23206471,0.10893086,0.09678909,0.3704591,0.23467402,0.24727471,0.37016064,0.22323214,0.42833465
40,40,Luis Garcia,STL,0.5515828,0.02905303,0.16538535,0.2205657,0.085449845,0.41950673,0.12708902,0.098124176,0.274799,0.21069047,0.13673137,0.23206471,0.10685101,0.09721001,0.3704591,0.23788513,0.26000732,0.3826428,0.23054647,0.43120256
41,41,Chris Flexen,SEA,0.4592912,0.89698094,0.76419467,0.61592144,0.54694617,0.26492935,0.096945904,0.13192034,0.25867835,0.28765327,0.13558033,0.23206471,0.10727927,0.1110082,0.3704591,0.36992732,0.6037336,0.5641606,0.5362349,0.48090327
42,42,Anthony DeSclafani,SFG,0.44311312,0.8249984,0.75703764,0.61592156,0.54162717,0.35817593,0.1007793,0.1344376,0.27284545,0.24916478,0.12352924,0.23206471,0.098459564,0.10269452,0.3704591,0.32219058,0.64258736,0.6323465,0.6224627,0.5447601
43,43,Wade Miley,CIN,0.45518753,0.8598752,0.75242877,0.6159206,0.51568925,0.30384797,0.10748802,0.11936666,0.23088677,0.2792973,0.13701034,0.23206471,0.10501536,0.10655837,0.3704591,0.34810644,0.6207679,0.5873885,0.57035834,0.5271747
44,44,Kyle Gibson,- - -,0.46809125,0.89277464,0.7641931,0.6159217,0.6055355,0.33686048,0.1256085,0.11649973,0.19622084,0.25412974,0.13648315,0.23206471,0.106004834,0.105067514,0.3704591,0.3470667,0.60949636,0.5743136,0.5435211,0.45395955
45,45,Shohei Ohtani,LAA,0.4995071,0.6336378,0.59937173,0.61506534,0.45790067,0.4709419,0.12920238,0.11845206,0.23610339,0.2089233,0.1281192,0.23206471,0.102852285,0.09733012,0.3704591,0.25755945,0.55140555,0.5928964,0.53330594,0.5731654
46,46,Ranger Suarez,PHI,0.7208315,0.15574044,0.45700556,0.48401323,0.26637438,0.38873312,0.11937829,0.077236414,0.25275403,0.19221276,0.11898956,0.23206471,0.09085779,0.08758956,0.3704591,0.24990691,0.5394365,0.6164083,0.5515951,0.57567155
47,47,Yu Darvish,SDP,0.421793,0.86502165,0.75361496,0.6159216,0.5870243,0.4691289,0.10893093,0.16648635,0.27659312,0.24717547,0.13210642,0.23206471,0.10824199,0.10774759,0.3704591,0.27838266,0.5073767,0.5047641,0.43370277,0.33863583
48,48,Steven Matz,TOR,0.4530246,0.8325101,0.72081745,0.6159196,0.52720636,0.3599139,0.11418167,0.12915385,0.24879086,0.27872834,0.14122704,0.23206471,0.11103814,0.106651835,0.3704591,0.31692135,0.56050336,0.5369399,0.4711737,0.43342838
49,49,Liam Hendriks,CHW,0.78401464,0.0223952,0.34284797,0.47659636,0.105532624,0.6303962,0.07883826,0.12438844,0.42244464,0.17624673,0.103573464,0.23206471,0.08665783,0.07505996,0.3704591,0.13341787,0.4137815,0.49642545,0.38739553,0.5756495
50,50,Shane Bieber,CLE,0.49238595,0.42941117,0.44669798,0.5079906,0.29183474,0.53409827,0.1260263,0.11789589,0.28710967,0.22123186,0.1361954,0.23206471,0.10572952,0.09353054,0.3704591,0.21889804,0.4405325,0.49234343,0.38244486,0.46344614
51,51,Tyler Glasnow,TBR,0.5114077,0.27473092,0.35707256,0.44840527,0.23283611,0.5592,0.12764886,0.11865619,0.29471567,0.18552835,0.12444808,0.23206471,0.099707805,0.09125415,0.3704591,0.20308943,0.4024507,0.51443744,0.39262664,0.48857236
52,52,Josh Hader,MIL,0.78401446,0.027150132,0.24583915,0.43462145,0.16777538,0.663941,0.13971823,0.08522403,0.3373596,0.1333418,0.10698579,0.23206471,0.08529118,0.07305089,0.3704591,0.1555295,0.4388753,0.5612325,0.44519404,0.5756662
53,53,Hyun-Jin Ryu,TOR,0.48387414,0.89866,0.7640722,0.6159192,0.5531549,0.33191174,0.100615144,0.16967407,0.39542413,0.28800803,0.13509482,0.23206471,0.104795426,0.12879542,0.3704591,0.33641636,0.616157,0.57427037,0.5512719,0.32160914
