,Unnamed: 0,Name,Team,FLDPos,G,PA,H,HR,R,RBI,SB,BB,AVG,OBP,SLG,OPS,wRC+,wOBA,Bat,WAR,bWAR,aWAR,WPA
10,10,Manny Machado,BAL,3B,148.64858210086825,646.1748157143593,169.14241790771484,21.262119203805923,84.10980981588362,90.1721652150154,12.522792011499403,46.958932757377625,0.2940616309642792,0.3872329890727997,0.7383619546890259,1.2337477505207062,224.87669700384143,0.503654386639595,23.315092468261717,3.901310181617737,3.769673556983471,3.189024991989135,1.9517633438110356
11,11,Jean Segura,ARI,2B,149.93423360586166,645.9360685348511,169.14237928390503,14.636222839355469,83.89613699913023,85.53476852178574,36.788989305496216,36.44681441783905,0.2940616309642792,0.3872329890727997,0.6785345673561096,1.2071570456027985,215.50332778692248,0.4884800396561622,16.295787906646726,3.901344603300095,3.757230107486248,3.1667214727401727,1.9517633438110356
12,12,Kyle Seager,SEA,3B,148.14610773324966,645.7293846011162,169.13910913467407,20.640329003334045,80.95759874582289,90.06086426973343,10.687382638454435,51.28590106964111,0.2940616309642792,0.3872329890727997,0.7238808870315552,1.226800113916397,222.85875815153125,0.5049089925885201,21.791027069091797,3.8966400980949407,3.730135871469975,2.991043670177459,1.9517633438110356
13,13,Nolan Arenado,COL,3B,149.5197001695633,646.3291975855827,169.14277839660645,21.990227431058884,85.05166375637053,90.1751697063446,12.925834864377975,50.28582620620728,0.2940616309642792,0.3872329890727997,0.7703987956047058,1.251389354467392,229.16120064258575,0.5125464132428169,23.391283607482908,3.901594942808152,3.77952282845974,3.1763840126991267,1.9517633438110356
14,14,Ian Kinsler,DET,2B,149.29089444875717,645.3334212303162,169.1338562965393,16.32672891020775,78.85172098875044,86.31383550167084,29.700298726558685,43.28160309791565,0.2940616309642792,0.3872329890727997,0.6768128275871277,1.1791857182979584,211.6238137483597,0.4788085250258445,13.294115304946896,3.895434713363648,3.703543337881565,2.7664231133460992,1.9076744079589845
15,15,Yasmani Grandal,LAD,C,125.38999068737031,547.7733787298203,120.78498315811156,15.32766890525818,51.12584933638572,66.16428971290588,3.2002080529928207,34.804219007492065,0.2940616309642792,0.3872329890727997,0.6598109602928162,1.1468091309070587,195.35205042362216,0.4758947077989578,9.73350381851196,2.963120004534722,3.257903275191784,1.401370887756347,1.3404391288757325
16,16,Christian Yelich,MIA,LF,147.75790667533877,645.5857642889023,169.13957262039185,19.11181914806366,83.01813930273055,90.02419203519821,20.923296749591827,48.22004401683808,0.2940616309642792,0.3872329890727997,0.708347737789154,1.2167066037654877,221.80746042728427,0.5061597490310669,18.98753786087036,3.892204082012177,3.727834801375866,2.865394511222839,1.951210021972656
17,17,Jackie Bradley Jr.,BOS,CF,147.39723753929138,644.38410115242,167.17466354370117,18.238663285970688,76.41507375240325,84.15359830856323,21.31884330511093,40.97918105125427,0.2940616309642792,0.3872329890727997,0.6593355536460876,1.1703779697418213,206.81474244594577,0.4718629420995712,11.149673891067502,3.780466294288636,3.684820156693459,2.6072944688796995,1.7423659324645997
18,18,Adrian Beltre,TEX,3B,146.51065015792847,644.9283791780472,169.13617372512817,19.01515620946884,75.38739877939223,89.98242247104645,6.348802149295807,41.511293172836304,0.2940616309642792,0.3872329890727997,0.7102382779121399,1.2129079699516296,219.3369592428208,0.4957645272016525,22.597569465637203,3.8965562343597417,3.7186650946736335,2.8869203495979305,1.9412508010864256
19,19,Jose Ramirez,CLE,3B,146.02646642923355,643.2945708036423,169.091730594635,10.682163774967194,74.67464286088942,74.64377284049988,32.49267780780792,32.48371994495392,0.2940616309642792,0.3872329890727997,0.6251887679100037,1.1646257042884829,209.43529409170156,0.4744797551035881,12.169209289550778,3.8394506633281713,3.684417181313038,2.700299441814422,1.5412837982177736
